filename,node
00958972.2016.1250260_1436516_clean,psid09
00958972.2016.1250260_1436519_clean,psid09
00958972.2016.1253069_1472494_clean,psid09
1499489-acs.cgd.6b01265_1499490_clean,psid09
ABAYIO_clean,psid09
ABAYOU_clean,psid09
ABEFUL_clean,psid09
ABEMIF_clean,psid09
ABESUX_clean,psid09
ABETAE_clean,psid09
ABETIN_clean,psid09
ABEXEM_clean,psid09
ABEXEN_clean,psid09
ABEXIQ_clean,psid09
ABEXOW_clean,psid09
ABEXUC_clean,psid09
ABEYAJ_clean,psid09
ABEYEN_clean,psid09
ABEYIR_clean,psid09
ABIXOZ_clean,psid09
ABIYIV_clean,psid09
ABULOB_clean,psid09
ABUWOJ_clean,psid09
ABUXUT_clean,psid09
ac403674p_si_001_clean,psid09
ACAJIY_clean,psid09
ACAJIZ_clean,psid09
ACAJOF_clean,psid09
ACAKUM_clean,psid09
ACATAA_clean,psid09
ACECIV_ion_b,psid09
ACENIF_clean,psid09
ACIBIY_clean,psid09
ACIBOE_clean,psid09
ACMPCD_SL,psid09
ACOCOM_clean,psid09
ACOCUS_clean,psid09
ACODAZ_clean,psid09
ACODED_clean,psid09
ACODIH_clean,psid09
ACODON_clean,psid09
ACODUT_clean,psid09
ACOGAB_clean,psid09
ACOGEF_clean,psid09
ACOLEL_clean,psid09
ACOLIP_clean,psid09
ACOLOV_clean,psid09
ACOLUB_clean,psid09
acs.cgd.5b00681_AJUPEC1449470_clean,psid09
acs.cgd.5b01178_MAHFOT1419063_clean,psid09
acs.cgd.5b01178_MAHFUZ1419064_clean,psid09
acs.cgd.5b01554_VAGNUP1452791_clean,psid09
acs.cgd.5b01554_VAHLEY1433683_clean,psid09
acs.cgd.5b01632_ZAHKOL1438120_clean,psid09
acs.cgd.5b01684_CUTGIJ1438510_clean,psid09
acs.cgd.5b01686_WAHFUJ1434675_clean,psid09
acs.cgd.5b01835_ULIMUZ1444615_clean,psid09
acs.cgd.6b00038_ILUSOZ1440258_clean,psid09
acs.cgd.6b00119_OLISUZ1440339_clean,psid09
acs.cgd.6b00151_AKECEA1449783_clean,psid09
acs.cgd.6b00151_AKECIE1449784_clean,psid09
acs.cgd.6b00151_AKECUQ1449786_clean,psid09
acs.cgd.6b00151_AKEDAX1449787_clean,psid09
acs.cgd.6b00151_AKEDEB1449788_clean,psid09
acs.cgd.6b00163_UKEBAP1448505_clean,psid09
acs.cgd.6b00163_UKEBET1448506_clean,psid09
acs.cgd.6b00429_1438789-1438792_clean,psid09
acs.cgd.6b00463_OLOMUZ1451936_clean,psid09
acs.cgd.6b01311_1481292-1481295_clean,psid09
acs.chemmater.5b03723_cm5b03723_si_004_clean,psid09
acs.chemmater.5b03723_cm5b03723_si_005_clean,psid09
acs.chemmater.5b04306_cm5b04306_si_001_clean,psid09
acs.chemmater.6b02817_cm6b02817_si_004_clean,psid09
acs.chemrev.6b00346_cr6b00346_si_001_clean,psid09
acs.inorgchem.5b02108_ic5b02108_si_002_clean,psid09
acs.inorgchem.5b02242_ic5b02242_si_002_clean,psid09
acs.inorgchem.5b02316_ic5b02316_si_002_clean,psid09
acs.inorgchem.5b02378_ic5b02378_si_002_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_002_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_004_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_007_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_009_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_010_clean,psid09
acs.inorgchem.5b02434_ic5b02434_si_011_clean,psid09
acs.inorgchem.5b02464_ic5b02464_si_002_clean,psid09
acs.inorgchem.5b02786_ic5b02786_si_002_clean,psid09
acs.inorgchem.5b02973_ic5b02973_si_002_clean,psid09
acs.inorgchem.6b00001_ic6b00001_si_002_clean,psid09
acs.inorgchem.6b00001_ic6b00001_si_004_clean,psid09
acs.inorgchem.6b00044_ic6b00044_si_002_clean,psid09
acs.inorgchem.6b00081_ic6b00081_si_001_clean,psid09
acs.inorgchem.6b00105_ic6b00105_si_001_clean,psid09
acs.inorgchem.6b00105_ic6b00105_si_002_clean,psid09
acs.inorgchem.6b00136_ic6b00136_si_002_clean,psid09
acs.inorgchem.6b00158_ic6b00158_si_002_clean,psid09
acs.inorgchem.6b00186_ic6b00186_si_001_clean,psid09
acs.inorgchem.6b00186_ic6b00186_si_003_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_001_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_002_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_003_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_006_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_009_clean,psid09
acs.inorgchem.6b00413_ic6b00413_si_003_clean,psid09
acs.inorgchem.6b00433_ic6b00433_si_002_clean,psid09
acs.inorgchem.6b00505_ic6b00505_si_002_clean,psid09
acs.inorgchem.6b00570_ic6b00570_si_002_clean,psid09
acs.inorgchem.6b00661_ic6b00661_si_002_clean,psid09
acs.inorgchem.6b00876_ic6b00876_si_002_clean,psid09
acs.inorgchem.6b00878_ic6b00878_si_002_clean,psid09
acs.inorgchem.6b00894_ic6b00894_si_002_clean,psid09
acs.inorgchem.6b00894_ic6b00894_si_003_clean,psid09
acs.inorgchem.6b00971_ic6b00971_si_002_clean,psid09
acs.inorgchem.6b00971_ic6b00971_si_003_clean,psid09
acs.inorgchem.6b01060_ic6b01060_si_003_clean,psid09
acs.inorgchem.6b01060_ic6b01060_si_004_clean,psid09
acs.inorgchem.6b01168_ic6b01168_si_003_clean,psid09
acs.inorgchem.6b01199_ic6b01199_si_002_clean,psid09
acs.inorgchem.6b01199_ic6b01199_si_003_clean,psid09
acs.inorgchem.6b01211_ic6b01211_si_002_clean,psid09
acs.inorgchem.6b01231_ic6b01231_si_002_clean,psid09
acs.inorgchem.6b01231_ic6b01231_si_003_clean,psid09
acs.inorgchem.6b01416_ic6b01416_si_001_clean,psid09
acs.inorgchem.6b01416_ic6b01416_si_002_clean,psid09
acs.inorgchem.6b01416_ic6b01416_si_004_clean,psid09
acs.inorgchem.6b01569_ic6b01569_si_002_clean,psid09
acs.inorgchem.6b01713_ic6b01713_si_002_clean,psid09
acs.inorgchem.6b01740_ic6b01740_si_002_clean,psid09
acs.inorgchem.6b01762_ic6b01762_si_002_clean,psid09
acs.inorgchem.6b01836_ic6b01836_si_002_clean,psid09
acs.inorgchem.6b01845_ic6b01845_si_003_clean,psid09
acs.inorgchem.6b01845_ic6b01845_si_007_clean,psid09
acs.inorgchem.6b01936_ic6b01936_si_002_clean,psid09
acs.inorgchem.6b02007_delta-Ru_phen_2_4_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru_phen_2_1_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru_phen_2_2_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru_phen_2_3_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru_phen_2_4_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru_phen_2_5_PF6_2_clean,psid09
acs.inorgchem.6b02007_Ru-Cd_clean,psid09
acs.inorgchem.6b02160_ic6b02160_si_002_clean,psid09
acs.inorgchem.6b02332_ic6b02332_si_002_clean,psid09
acs.inorgchem.6b02332_ic6b02332_si_003_clean,psid09
acs.inorgchem.6b02349_ic6b02349_si_002_clean,psid09
acs.inorgchem.6b02407_ic6b02407_si_002_clean,psid09
acs.inorgchem.6b02407_ic6b02407_si_003_clean,psid09
acs.inorgchem.6b02413_ic6b02413_si_002_clean,psid09
acs.inorgchem.6b02514_ic6b02514_si_002_clean,psid09
acs.inorgchem.6b02696_ic6b02696_si_002_clean,psid09
acs.jchemed.6b00258_ed6b00258_si_005_clean,psid09
acs.jpcc.6b04690_jp6b04690_si_004_clean,psid09
acs.jpcc.6b04690_jp6b04690_si_005_clean,psid09
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,psid09
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,psid09
acsami.6b11116_am6b11116_si_002_clean,psid09
acscombsci.5b00188_24205_clean,psid09
acscombsci.5b00188_3001288_clean,psid09
acscombsci.5b00188_34903_clean,psid09
acscombsci.5b00188_5013797_clean,psid09
acscombsci.5b00188_5020072_clean,psid09
acscombsci.5b00188_5024922_clean,psid09
acscombsci.5b00188_5036495_clean,psid09
acscombsci.5b00188_5040209_clean,psid09
acscombsci.5b00188_8372_clean,psid09
acsnano.6b03030_nn6b03030_si_001_clean,psid09
ACUBAB_clean,psid09
ACUFEK_clean,psid09
ACUJOZ_manual,psid09
ACUTOI_clean,psid09
ADABAK_clean,psid09
ADABAK01_clean,psid09
ADABIS_clean,psid09
ADABUE_clean,psid09
ADACAL_clean,psid09
ADARAA_clean,psid09
ADASAB_charged,psid09
ADASEF_clean,psid09
ADASIJ_clean,psid09
ADASOP_clean,psid09
ADASUV_clean,psid09
ADATAC_clean,psid09
ADATEG_manual,psid09
ADATIK_clean,psid09
ADATOQ_clean,psid09
ADATUW_clean,psid09
ADAVAE_clean,psid09
ADAVEI_clean,psid09
ADAVIM_clean,psid09
ADAXEK_clean,psid09
ADAXIO_clean,psid09
ADEGIA_clean,psid09
ADEGIA01_clean,psid09
ADIQEL_clean,psid09
ADOBAX_charged,psid09
ADOBEB_charged,psid09
ADOBIF_clean,psid09
ADOBOL_charged,psid09
ADOBUR_charged,psid09
ADOCAY_charged,psid09
ADOCEC_clean,psid09
ADOCIG_charged,psid09
ADODAA_charged,psid09
ADODII_clean,psid09
ADODOO_clean,psid09
ADODUU_clean,psid09
ADOGEH_clean,psid09
ADOLOV_clean,psid09
ADUROI_clean,psid09
ADUWIH_clean,psid09
ADUWON_clean,psid09
AFADAN_clean,psid09
AFEJOK_ion_b,psid09
AFEKAX_clean,psid09
AFENEE_clean,psid09
AFIPAH_clean,psid09
AFITEP_clean,psid09
AFITIT_clean,psid09
AFITOZ_clean,psid09
AFITUF_clean,psid09
AFIXAO_clean,psid09
AFIXES_clean,psid09
AFOQUI_clean,psid09
AFOTOF_clean,psid09
AFOTUL_clean,psid09
AFOVAT_clean,psid09
AFOVEX_clean,psid09
AFOVIB_clean,psid09
AFOVOH_clean,psid09
AFOYAW_clean,psid09
AFOYEB_clean,psid09
AFOYIE_clean,psid09
AFOYOK_clean,psid09
AFUJUI_clean,psid09
AFUKAP_clean,psid09
AFUKET_clean,psid09
AFUKIX_clean,psid09
AFUPEX_clean,psid09
AGABIU_clean,psid09
AGARUW_clean,psid09
AGAXOV_clean,psid09
AGESIP_clean,psid09
AGIMOU_clean,psid09
AGIREP_clean,psid09
AGOFEJ_clean,psid09
AGONAM_clean,psid09
AGONEQ_clean,psid09
AGOVID_charged,psid09
AGOVOJ_clean,psid09
AGOVUP_clean,psid09
AGOWAW_charged,psid09
AGOWEA_charged,psid09
AGUBUA_clean,psid09
AGUVOO_charged,psid09
AGUWUV_clean,psid09
AHAMAY_clean,psid09
AHAPUV_clean,psid09
AHEBAS_clean,psid09
AHEQAH_clean,psid09
AHETAK_clean,psid09
AHIKOT_clean,psid09
AHINIP_clean,psid09
AHIYOH_clean,psid09
AHIYUN_clean,psid09
AHOBEG_clean,psid09
AHOKAJ_clean,psid09
AHOKIR_clean,psid09
AHOKIR01_clean,psid09
AHOKOX_clean,psid09
AHOZAA_clean,psid09
AHUFIU_clean,psid09
AHUTIH_clean,psid09
AHUTIH01_clean,psid09
AJAKON_clean,psid09
AJAYIT_clean,psid09
AJIGIL_clean,psid09
AJIHAE_clean,psid09
AJIMEN_clean,psid09
AJOHUE_clean,psid09
AJOQEW_clean,psid09
AJOQIA_clean,psid09
AJOQOG_clean,psid09
AJOQUM_clean,psid09
AJORAT_clean,psid09
AJOTEY_clean,psid09
AJOVEB_clean,psid09
AJOXAA_clean,psid09
AJUNOK_clean,psid09
AKAYIV_clean,psid09
AKEDIF_clean,psid09
AKIXEZ_clean,psid09
AKOBAF_clean,psid09
AKOHEO_clean,psid09
AKOXIJ_clean,psid09
AKUHOD_clean,psid09
AKUHOD01_clean,psid09
AKUKUO_clean,psid09
ALAHUS_clean,psid09
ALALUU_clean,psid09
ALALUU01_clean,psid09
ALAMUW_clean,psid09
ALANAD_clean,psid09
ALASEN_clean,psid09
ALEHUW_clean,psid09
ALEJAE_clean,psid09
ALEJEI_clean,psid09
ALEJIM_clean,psid09
ALEQIT_clean,psid09
ALIBUT_clean,psid09
ALICAA_clean,psid09
ALICEE_clean,psid09
ALICII_clean,psid09
ALIFUY_clean,psid09
ALIPEQ_clean,psid09
ALIXAU_clean_h,psid09
ALIXID_clean,psid09
ALIXOJ_clean,psid09
ALIXUP_clean,psid09
ALOLES_ion_b,psid09
ALOLET_charged,psid09
