
---- START at 2025-05-30 03:48:19, Remain=5339/5339 ----
[4/5339] ABEFUL_clean Done. TimeForThis=74.1s, Completed=1/5339, ETA=2025-06-03 17:41:21
[16/5339] ABIXOZ_clean Done. TimeForThis=80.0s, Completed=2/5339, ETA=2025-06-01 15:10:05
[26/5339] ACIBOE_clean Done. TimeForThis=83.7s, Completed=3/5339, ETA=2025-05-31 21:10:56
[6/5339] ABETAE_clean Done. TimeForThis=97.9s, Completed=4/5339, ETA=2025-05-31 16:06:29
[19/5339] ABUWOJ_clean Done. TimeForThis=98.0s, Completed=5/5339, ETA=2025-05-31 08:52:49
[5/5339] ABESUX_clean Done. TimeForThis=101.7s, Completed=6/5339, ETA=2025-05-31 04:56:39
[18/5339] ABULOB_clean Done. TimeForThis=107.8s, Completed=7/5339, ETA=2025-05-31 02:39:34
[15/5339] ABEYIR_clean Done. TimeForThis=108.2s, Completed=8/5339, ETA=2025-05-30 23:52:16
[14/5339] ABEYEN_clean Done. TimeForThis=108.6s, Completed=9/5339, ETA=2025-05-30 21:42:44
[13/5339] ABEYAJ_clean Done. TimeForThis=108.9s, Completed=10/5339, ETA=2025-05-30 19:57:50
[12/5339] ABEXUC_clean Done. TimeForThis=109.1s, Completed=11/5339, ETA=2025-05-30 18:31:19
[32/5339] ACOGAB_clean Done. TimeForThis=109.4s, Completed=12/5339, ETA=2025-05-30 17:20:03
[10/5339] ABEXIQ_clean Done. TimeForThis=110.9s, Completed=13/5339, ETA=2025-05-30 16:27:39
[11/5339] ABEXOW_clean Done. TimeForThis=111.2s, Completed=14/5339, ETA=2025-05-30 15:35:26
[8/5339] ABEXEM_clean Done. TimeForThis=113.0s, Completed=15/5339, ETA=2025-05-30 14:58:39
[22/5339] ACAJOF_clean Done. TimeForThis=122.1s, Completed=16/5339, ETA=2025-05-30 15:07:30
[23/5339] ACAKUM_clean Done. TimeForThis=128.3s, Completed=17/5339, ETA=2025-05-30 15:00:04
