
---- START at 2025-05-30 03:33:09, Remain=5338/5338 ----
[11/5338] JOHFIW_manual Done. TimeForThis=65.4s, Completed=1/5338, ETA=2025-06-03 04:31:16
[23/5338] JOKYAJ10_clean Done. TimeForThis=66.0s, Completed=2/5338, ETA=2025-06-01 04:30:34
[29/5338] JOKYOX_clean Done. TimeForThis=71.7s, Completed=3/5338, ETA=2025-05-31 15:00:13
[28/5338] JOKYOX10_clean Done. TimeForThis=71.7s, Completed=4/5338, ETA=2025-05-31 06:09:18
[27/5338] JOKYIR_clean Done. TimeForThis=71.7s, Completed=5/5338, ETA=2025-05-31 00:50:17
[26/5338] JOKYIR10_clean Done. TimeForThis=72.1s, Completed=6/5338, ETA=2025-05-30 21:22:16
[24/5338] JOKYAJ_clean Done. TimeForThis=72.6s, Completed=7/5338, ETA=2025-05-30 18:55:47
[25/5338] JOKYEN_clean Done. TimeForThis=73.3s, Completed=8/5338, ETA=2025-05-30 17:08:57
[14/5338] JOKWOV_clean Done. TimeForThis=77.1s, Completed=9/5338, ETA=2025-05-30 16:15:23
[10/5338] JOGSAA_clean Done. TimeForThis=79.7s, Completed=10/5338, ETA=2025-05-30 15:22:01
[20/5338] JOKXOW_clean Done. TimeForThis=84.5s, Completed=11/5338, ETA=2025-05-30 14:56:39
[19/5338] JOKXOW10_clean Done. TimeForThis=84.7s, Completed=12/5338, ETA=2025-05-30 14:01:00
[15/5338] JOKXAI10_clean Done. TimeForThis=85.7s, Completed=13/5338, ETA=2025-05-30 13:19:45
[16/5338] JOKXAI_clean Done. TimeForThis=86.3s, Completed=14/5338, ETA=2025-05-30 12:41:33
[1/5338] JOCLOD_clean Done. TimeForThis=101.8s, Completed=15/5338, ETA=2025-05-30 13:37:16
[12/5338] JOJKUQ_clean Done. TimeForThis=117.2s, Completed=16/5338, ETA=2025-05-30 14:25:06
[9/5338] JOGHIY_clean Done. TimeForThis=118.5s, Completed=17/5338, ETA=2025-05-30 13:53:32
[8/5338] JOGHEU_clean Done. TimeForThis=120.3s, Completed=18/5338, ETA=2025-05-30 13:27:37
[4/5338] JODGEP_clean Done. TimeForThis=120.8s, Completed=19/5338, ETA=2025-05-30 12:58:53
[13/5338] JOJLOK_clean Done. TimeForThis=125.8s, Completed=20/5338, ETA=2025-05-30 12:53:05
[5/5338] JOFGOC_clean Done. TimeForThis=127.7s, Completed=21/5338, ETA=2025-05-30 12:34:12
[7/5338] JOFKIA_clean Done. TimeForThis=131.8s, Completed=22/5338, ETA=2025-05-30 12:26:24
[21/5338] JOKXUC10_clean Done. TimeForThis=135.4s, Completed=23/5338, ETA=2025-05-30 12:16:51
[22/5338] JOKXUC_clean Done. TimeForThis=135.6s, Completed=24/5338, ETA=2025-05-30 11:55:57
[44/5338] JOVROD_clean Done. TimeForThis=54.4s, Completed=25/5338, ETA=2025-05-30 11:48:14
