filename,node
1499489-acs.cgd.6b01265_1499490_clean,psid09
ACECIV_ion_b,psid09
ACOCOM_clean,psid09
ACOCUS_clean,psid09
ACODAZ_clean,psid09
ACODUT_clean,psid09
acs.cgd.5b01554_VAGNUP1452791_clean,psid09
acs.chemmater.5b03723_cm5b03723_si_004_clean,psid09
acs.chemmater.5b03723_cm5b03723_si_005_clean,psid09
acscombsci.5b00188_34903_clean,psid09
acscombsci.5b00188_5013797_clean,psid09
acs.inorgchem.5b02316_ic5b02316_si_002_clean,psid09
acs.inorgchem.5b02378_ic5b02378_si_002_clean,psid09
acs.inorgchem.6b00136_ic6b00136_si_002_clean,psid09
acs.inorgchem.6b00276_ic6b00276_si_006_clean,psid09
acs.inorgchem.6b01211_ic6b01211_si_002_clean,psid09
acs.inorgchem.6b01416_ic6b01416_si_004_clean,psid09
acs.inorgchem.6b01762_ic6b01762_si_002_clean,psid09
acs.jpcc.6b04690_jp6b04690_si_005_clean,psid09
ADOBIF_clean,psid09
AFEKAX_clean,psid09
AGUBUA_clean,psid09
AHIYOH_clean,psid09
AHIYUN_clean,psid09
AHOZAA_clean,psid09
AHUFIU_clean,psid09
AKIXEZ_clean,psid09
AKOXIJ_clean,psid09
am301365h_si_002_clean,psid09
AMIZIG_clean,psid09
ANOMOG_clean,psid09
APEBII_clean,psid09
APEBOO_clean,psid09
AQEFOS_clean,psid09
AQEGUY_clean,psid09
AQERUL_clean,psid09
AQIXUU_clean,psid09
AQOLOJ_clean,psid09
AQOTIK_clean,psid09
ASANAL_clean,psid09
ASEKAM_clean,psid09
ASEXED_clean,psid09
ASIVEF_clean,psid09
ATEJOA_clean,psid09
ATEZEG_clean,psid09
ATEZIK_clean,psid09
ATUZEW_clean,psid09
AVEMOE_clean,psid09
AVETAY_clean,psid09
AVETOM_clean,psid09
AVUBUP_clean,psid09
AVUHIJ_clean,psid09
AWEJES_clean,psid09
AWEWOP_clean,psid09
AWOKED_clean,psid09
AWUPOZ_clean,psid09
AXIGAR_clean,psid09
AXINAX_clean,psid09
AXUJOT_clean,psid09
AZOHEC_clean,psid09
BABREE_clean,psid09
BADJIC_clean,psid09
BADXAI_clean,psid09
BAKYIY_clean,psid09
BALPEL_clean,psid09
BAPVEW_clean,psid09
BAYCOU_clean,psid09
BEFNOR_clean,psid09
BEGDEY_clean,psid09
BERQIA_clean,psid09
BETDOV_clean,psid09
BETFIR_clean,psid09
BETFOX_clean,psid09
BEWCUD_clean,psid09
BEWVEG_clean,psid09
BEXTUV_clean,psid09
BEXVAD01_clean,psid09
BEXVAD_clean,psid09
BEXVIL_clean,psid09
BIBMAC_clean,psid09
BIBMEG_clean,psid09
BIBYAO_clean,psid09
BICDAU_clean,psid09
BIHBEB_clean,psid09
BIHRER_clean,psid09
BIJFAD_clean,psid09
BIJJOV_clean,psid09
BINMIW_clean,psid09
BIPBAF_clean,psid09
BIRGIU_clean,psid09
BIWSOQ_clean,psid09
BOHWOM_clean,psid09
BOHXIH_clean,psid09
BOJDAG_clean,psid09
BORBEQ_clean,psid09
BOSHIC_clean,psid09
BOWSOW_clean,psid09
BUBDIL_clean,psid09
BUCSAU_clean,psid09
BUCSIC01_clean,psid09
BUCTUQ_clean,psid09
BUFPIC_clean,psid09
BUKMUQ_clean,psid09
BUPDOH_clean,psid09
BUVKUA_clean,psid09
BUVVIZ_clean,psid09
BUVVOF_clean,psid09
BUXTUL_clean,psid09
c4dt02048k_c4dt02048k2_clean,psid09
c4ra13058h_c4ra13058h2_clean,psid09
c5cc01886b_c5cc01886b2_clean,psid09
c5cc09935h_c5cc09935h2_clean,psid09
c5ce00923e_c5ce00923e2_clean,psid09
c5ce00931f_c5ce00931f2_clean,psid09
c5ce01790d_c5ce01790d1_clean,psid09
c5ce02503f_c5ce02503f2_clean,psid09
c5dt01100k_c5dt01100k2_clean,psid09
c5dt02651b_c5dt02651b2_clean,psid09
c5dt03038b_c5dt03038b2_clean,psid09
c5dt03710g_c5dt03710g2_clean,psid09
c5dt04943a_c5dt04943a2_clean,psid09
c5dt05023e_c5dt05023e2_clean,psid09
c5nj02236c_c5nj02236c2_clean,psid09
c5nj03044g_c5nj03044g2_clean,psid09
c5qi00128e_c5qi00128e2_clean,psid09
c5sc00614g_c5sc00614g2_clean,psid09
c5ta03835a_c5ta03835a2_clean,psid09
c5ta05481h_c5ta05481h2_clean,psid09
c5ta09507g_c5ta09507g2_clean,psid09
c5ta10401g_c5ta10401g2_clean,psid09
c6cc00589f_c6cc00589f2_clean,psid09
c6cc00589f_c6cc00589f3_clean,psid09
c6cc01597b_c6cc01597b2_clean,psid09
c6cc03787a_c6cc03787a2_clean,psid09
c6ce00465b_c6ce00465b2_clean,psid09
c6dt01288d_c6dt01288d2_clean,psid09
c6ta07145g_c6ta07145g2_clean,psid09
CACNOM_clean,psid09
CAHQAG_clean,psid09
CASWIE_clean,psid09
CAVMIX_clean,psid09
CAWBUY_clean,psid09
CAXSUR_SL,psid09
CAYQIE_clean,psid09
CAYQOK_clean,psid09
CAYQUQ_clean,psid09
CEDFOI_clean,psid09
CEDFUO_clean,psid09
CEKNIQ_clean,psid09
CEMKOV_clean,psid09
CESFIQ_clean,psid09
CESFOW_clean,psid09
CEYWOU_clean,psid09
CEYYIQ_clean,psid09
cg050585esi20051105_115011_clean,psid09
cg100357q_si_002_clean,psid09
cg2007167_si_002_clean,psid09
cg3002866_si_001_clean,psid09
cg300979c_si_002_clean,psid09
cg3015354_si_002_clean,psid09
cg4012185_si_002_clean,psid09
cg500192d_si_002_clean,psid09
cg5008236_si_002_clean,psid09
cg501141m_si_003_clean,psid09
cg801267m_si_001_clean,psid09
cg801267m_si_002_clean,psid09
cg801267m_si_003_clean,psid09
cg801267m_si_004_clean,psid09
CIFGUV_clean,psid09
CILFIN_clean,psid09
CIMFOV_clean,psid09
CIPLIX_clean,psid09
CIQQIE_clean,psid09
CIXCOC_clean,psid09
cm071462f-file004_clean,psid09
cm501138g_si_003_clean,psid09
cm501138g_si_004_clean,psid09
CODVAU_clean,psid09
COJMIZ_clean,psid09
COJMOF02_clean,psid09
COMNAU_clean,psid09
comp2_clean,psid09
COMZIP_clean,psid09
COQJID_clean,psid09
COQJOJ_clean,psid09
COQJUP_clean,psid09
COWDEZ_clean,psid09
COXDIE_clean,psid09
COYMIN_clean,psid09
CUFQUR_clean,psid09
CUGLIB_clean,psid09
CUGYIO_clean,psid09
CUGZAH_clean,psid09
CUHLUO_clean,psid09
CUNXIS_clean,psid09
CUPHIG_clean,psid09
CUQRUD_clean,psid09
CURZAR_clean,psid09
CUSXIY_clean,psid09
CUSXOE_clean,psid09
CUTCAX_clean,psid09
CUTFII_clean,psid09
CUVTIX_clean,psid09
CUVVOG_clean,psid09
CUWHUZ_clean,psid09
CUWXAV_clean,psid09
CUXFUX_clean,psid09
DACSAE_clean,psid09
DACSEI_clean,psid09
DADXUE_clean,psid09
DAFXUG_clean,psid09
DALVEU_clean,psid09
DAMRAN_clean,psid09
DANZOJ_neutral,psid09
DAPZAW_clean,psid09
DAXJET02_clean,psid09
DAXJET03_clean,psid09
DAXJET_clean,psid09
DAYCAI_clean,psid09
DAZCAK_clean,psid09
DEKPUF_clean,psid09
DEMLAJ_clean,psid09
DEYDOA_clean,psid09
DEYLOJ_clean,psid09
DIHYUP_clean,psid09
DIMQIB_clean,psid09
DITPED_clean,psid09
DIWMUT_clean,psid09
DIXNUV_clean,psid09
DIZVAK_clean,psid09
DOFREW_clean,psid09
DOFTID_clean,psid09
DOFTOJ_clean,psid09
DOGBAE_clean,psid09
DOJXOR_clean,psid09
DOLWEI_clean,psid09
DOMGAP_clean,psid09
DONXOV_clean,psid09
DOTFOJ_clean,psid09
DOWGIH_clean,psid09
DUDKIY_clean,psid09
DUKDIX_clean,psid09
DUKDOD_clean,psid09
DUKNEE_clean,psid09
DUNYOC_clean,psid09
DUQRUD_clean,psid09
DUSHEG_clean,psid09
DUSHIK_clean,psid09
DUXZIG01_clean,psid09
DUZKAM_clean,psid09
DUZKEQ_clean,psid09
EBEWUG_clean,psid09
EBEXAN_clean,psid09
EBEXIU02_clean,psid09
EBEXIV_clean,psid09
EBISAM_clean,psid09
EBOXEA_clean,psid09
ECEZAO_clean,psid09
ECNPYR01_clean,psid09
EDUSOL_clean,psid09
EDUTUS_clean,psid09
EDUVAA_clean,psid09
EDUVEE_clean,psid09
EDUVII_clean,psid09
EDUVUU_clean,psid09
EDUWAB_clean,psid09
EFEGEC_clean,psid09
EFESIT_clean,psid09
EGABAR_clean,psid09
EGEJOQ_clean,psid09
EGEJUW_clean,psid09
EHIHEI_clean,psid09
EHUSUX_clean,psid09
EHUTAE_clean,psid09
EJATIS_clean,psid09
EJEGUW_clean,psid09
EJEHAD_clean,psid09
EJESUJ_clean,psid09
EKADIF_clean,psid09
EKEKIQ_clean,psid09
EKEKOW_clean,psid09
EKEMEO_clean,psid09
ELECIJ_clean,psid09
ELEROE_clean,psid09
ELOZIQ_clean,psid09
EMEHUB_clean,psid09
EMIREX_clean,psid09
EMUYAM01_clean,psid09
ENCDBZ01_clean,psid09
ENCDBZ_clean,psid09
ENCNBZ01_clean,psid09
ENEQUL_clean,psid09
EPECOT_clean,psid09
EPECUZ_clean,psid09
EPUSUE_clean,psid09
EQOCOC01_clean,psid09
ERALEQ_clean,psid09
ERALIU_clean,psid09
ERAMOB_clean,psid09
ERAMUH_clean,psid09
ERANAO_clean,psid09
ERANES_clean,psid09
ERANOC_clean,psid09
ERAQAR_clean,psid09
ERUNUC_clean,psid09
ESARIB_clean,psid09
ESEBOV_clean,psid09
ESEVIJ_clean,psid09
ESOROV_clean,psid09
ETEMEX_clean,psid09
ETIPII_clean,psid09
ETIXAI_clean,psid09
ETIXOW_clean,psid09
ETIYEN_clean,psid09
EVADEK_clean,psid09
EVADIO_clean,psid09
EVOTIT_SL,psid09
EWETIL_clean,psid09
EWETOR_clean,psid09
EXOGAB_clean,psid09
EXURUM_clean,psid09
EXUSAT_clean,psid09
EYOCUS_clean,psid09
EZIMEG_clean,psid09
EZIMIK_clean,psid09
EZOBUR01_clean,psid09
EZOFUV_clean,psid09
FAGYEU_clean,psid09
FAHQEN_clean,psid09
FAKHIK_clean,psid09
FALRIV01_clean,psid09
FALRIV_clean,psid09
FALROB_clean,psid09
FALSAO_clean,psid09
FASGEO_clean,psid09
FASGIS_clean,psid09
FAVDAK_clean,psid09
FAVDEO_clean,psid09
FAVDIS_clean,psid09
FAVFOA_clean,psid09
FAYLEY_clean,psid09
FAYLIC_clean,psid09
FECFAV_clean,psid09
FECJUT_clean,psid09
FECYOD_clean,psid09
FEKBED_clean,psid09
