filename,iteration,15.0bar uptake,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g
c5ta03835a_c5ta03835a2_clean,0.0,3.8665473829,12.36152,9.646230000000001,12.36152,0.670312,1969.74,2938.54,0.0,0.0,0.7304,1.08964,0.0
FUVDEH01_clean,0.0,1.4946474759,7.23867,5.86079,7.23867,1.59448,533.217,334.414,0.0,0.0,0.397,0.248984,0.0
ja507119n_si_002_clean,0.0,2.2053193638,15.60995,11.919319999999999,15.59956,1.42878,1384.15,968.765,14.3512,10.0444,0.6548,0.458293,0.000139979
jacs.5b11079_ja5b11079_si_002_clean,0.0,4.7104284401,14.169789999999999,6.91811,12.94276,0.599196,2206.88,3683.06,0.0,0.0,0.7614,1.2707,0.0
KINMUR_clean,0.0,7.4194311703,5.20086,4.2137,5.19994,1.27394,2724.76,2138.85,0.0,0.0,0.6356,0.49892600000000004,0.0
LAPMIB_clean,0.0,6.7039860019,7.006010000000001,3.6748800000000004,7.006010000000001,1.42644,1562.69,1095.51,0.0,0.0,0.5924,0.415299,0.0
QUQQOJ_clean,0.0,1.7931275011,4.48385,3.90246,4.48385,1.7370900000000002,680.1260000000001,391.531,0.0,0.0,0.355,0.20436500000000002,0.0
SAMVIO_clean,0.0,3.3010859095,7.6401,7.164510000000001,7.6401,1.0368700000000002,1572.96,1517.02,0.0,0.0,0.6052,0.5836779999999999,0.0
SEFTOO_clean,0.0,2.423669338,11.4429,3.43753,11.4429,0.932976,1481.84,1588.29,0.0,0.0,0.6414,0.6874779999999999,0.0
UDAXEF_clean,0.0,1.8582685753,8.6836,5.82923,8.6836,1.5343200000000001,1708.5,1113.52,0.0,0.0,0.6396,0.416861,0.0
VARHON_clean,0.0,4.9852549141,6.750560000000001,3.96368,6.747000000000001,0.8865059999999999,2055.95,2319.17,0.0,0.0,0.618,0.6971189999999999,0.0
VOSVAC_clean,0.0,1.8745714746,7.52435,6.5016099999999994,7.52078,1.22189,808.953,662.049,0.0,0.0,0.46799999999999997,0.38301199999999996,0.0
WASMUB02_clean,0.0,4.4426980809,7.510160000000001,6.6726399999999995,7.50984,1.25015,1421.32,1136.93,0.0,0.0,0.5328,0.42618999999999996,0.000319962
XANZAQ03_clean,0.0,3.076446053,8.31524,7.66858,8.31524,0.918646,1605.96,1748.18,3.1735599999999997,3.4546099999999997,0.6742,0.7339060000000001,0.0
ZOKGAJ_clean,0.0,1.1484765354,17.39237,16.36156,17.39237,1.58893,759.382,477.921,47.2436,29.733,0.5304,0.33381,0.0
acscombsci.5b00188_5040209_clean,0.0,3.8120470831,7.3732,5.53143,7.30173,1.0463200000000001,1848.9,1767.06,0.0,0.0,0.6162,0.588923,0.0
AHOKIR_clean,0.0,2.1201178033,4.49939,3.4786099999999998,4.49939,1.8820700000000001,939.705,499.29400000000004,0.0,0.0,0.4884,0.259502,0.0
ALUKIC_clean,0.0,3.9308646876,8.54387,6.77342,8.52787,0.56692,2883.21,5085.74,0.0,0.0,0.7934,1.39949,0.0
AQUCOG_clean,0.0,2.831642513,11.414069999999999,10.599789999999999,11.413889999999999,1.19971,1576.67,1314.22,0.0,0.0,0.6588,0.549134,0.0
AROFAP_clean,0.0,3.8492665278,6.18036,4.30595,6.18036,1.1699700000000002,1430.3,1222.5,0.0,0.0,0.575,0.491464,0.0
AWAKEQ_clean,0.0,1.2645095004,5.66517,3.68033,5.65855,1.19573,631.039,527.745,0.0,0.0,0.5032,0.420832,0.0
AZAVUU_clean,0.0,3.1589080998,5.48228,4.93668,5.47166,1.18498,1132.58,955.7769999999999,0.0,0.0,0.5306,0.44777,0.0
BEPPOD_clean,0.0,1.7566836138,10.03622,9.89092,10.03622,0.9607319999999999,1283.35,1335.81,0.0,0.0,0.613,0.638055,0.0
BEPREV_clean,0.0,6.2049433148,6.753639999999999,5.16047,6.749910000000001,0.798706,2521.08,3156.46,0.0,0.0,0.6402,0.801547,0.0
BEXRUT_clean,0.0,2.7091536748,6.49399,4.71424,6.459169999999999,1.07075,1422.45,1328.47,0.0,0.0,0.585,0.546348,0.0
BICPUA_clean,0.0,3.7554428053,13.796779999999998,9.90606,13.29085,0.543859,2105.6,3871.6,0.0,0.0,0.815,1.49855,0.0
BIMDIL_clean,0.0,3.666183093,5.20728,3.5121300000000004,5.20728,1.39622,1478.14,1058.67,0.0,0.0,0.539,0.386042,0.0
c5cc04223b_c5cc04223b2_clean,0.0,3.8666626623,12.297039999999999,9.67035,12.2571,0.522428,2226.93,4262.65,0.0,0.0,0.794,1.51983,0.0
COTXIU_clean,0.0,3.540403999,5.20924,4.31105,5.19843,1.08343,1119.32,1033.13,0.0,0.0,0.5218,0.48161800000000005,0.0
COYCID_clean,0.0,2.4097168897,9.57313,6.9558100000000005,9.57313,0.9311229999999999,1860.71,1998.35,0.0,0.0,0.6788,0.729012,0.0
